,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
1500,22291,5,8,55.0,01:13.1,213.161,Ricciardo,Finished,2014,Austrian Grand Prix,Red Bull
1501,22310,2,5,52.0,01:37.5,217.556,Vettel,Finished,2014,British Grand Prix,Red Bull
1502,22308,8,3,34.0,01:38.5,215.395,Ricciardo,Finished,2014,British Grand Prix,Red Bull
1503,22331,6,4,39.0,01:21.5,201.93,Vettel,Finished,2014,German Grand Prix,Red Bull
1504,22333,5,6,53.0,01:20.8,203.676,Ricciardo,Finished,2014,German Grand Prix,Red Bull
1505,22356,2,7,52.0,01:28.7,177.716,Vettel,Finished,2014,Hungarian Grand Prix,Red Bull
1506,22350,4,1,58.0,01:26.6,182.103,Ricciardo,Finished,2014,Hungarian Grand Prix,Red Bull
1507,22400,8,6,34.0,01:29.1,233.952,Vettel,Finished,2014,Italian Grand Prix,Red Bull
1508,22399,9,5,53.0,01:28.6,235.413,Ricciardo,Finished,2014,Italian Grand Prix,Red Bull
1509,22418,4,2,27.0,01:52.5,162.052,Vettel,Finished,2014,Singapore Grand Prix,Red Bull
1510,22419,3,3,30.0,01:52.6,161.98,Ricciardo,Finished,2014,Singapore Grand Prix,Red Bull
1511,22441,9,3,32.0,01:51.9,186.795,Vettel,Finished,2014,Japanese Grand Prix,Red Bull
1512,22442,6,4,38.0,01:52.2,186.269,Ricciardo,Finished,2014,Japanese Grand Prix,Red Bull
1513,22468,10,8,53.0,01:42.6,205.133,Vettel,Finished,2014,Russian Grand Prix,Red Bull
1514,22467,6,7,50.0,01:43.0,204.296,Ricciardo,Finished,2014,Russian Grand Prix,Red Bull
1515,22488,18,7,50.0,01:41.4,195.768,Vettel,Finished,2014,United States Grand Prix,Red Bull
1516,22484,5,3,33.0,01:42.8,193.004,Ricciardo,Finished,2014,United States Grand Prix,Red Bull
1517,22504,6,5,68.0,01:14.0,209.576,Vettel,Finished,2014,Brazilian Grand Prix,Red Bull
1518,22525,19,8,51.0,01:45.6,189.427,Vettel,Finished,2014,Abu Dhabi Grand Prix,Red Bull
1519,22521,20,4,50.0,01:44.5,191.341,Ricciardo,Finished,2014,Abu Dhabi Grand Prix,Red Bull
